变量ID,变量名称,构念,Stage5路线,学术总分,学术处置,商业总分,商业处置,整合层级,整合角色,变量组合包,主/替代状态,强制伴随项,解释边界,学术来源层,商业来源层,整合判断层
CV011,确认PE/VC参与标记,PEVC参与,CROSS_SECTIONAL_DESCRIPTIVE,12,优先候选,11,核心应用,DUAL_CORE,后续选择主轴核心,B03 PE/VC参与与深度,保留为主变量或独立维度,有效N、法律主体口径、warning_code,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV012,确认PE/VC法律主体数,PEVC参与,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,11,核心应用,DUAL_CORE,后续选择主轴核心,B03 PE/VC参与与深度,保留为主变量或独立维度,有效N、法律主体口径、warning_code,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV013,确认PE/VC占直接主体比重,PEVC参与,CROSS_SECTIONAL_DESCRIPTIVE,12,优先候选,10,核心应用,DUAL_CORE,后续选择主轴核心,B03 PE/VC参与与深度,保留为主变量或独立维度,有效N、法律主体口径、warning_code,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV014,确认PE/VC参与融资轮数,PEVC参与深度,CROSS_SECTIONAL_DESCRIPTIVE,10,优先候选,10,核心应用,DUAL_CORE,后续选择主轴核心,B03 PE/VC参与与深度,保留为主变量或独立维度,有效N、法律主体口径、warning_code,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV015,首次确认PE/VC进入日期,PEVC进入时点,CASE_ONLY,9,案例命题,7,案例应用,CASE,案例路径变量,B04 PE/VC进入与路径,保留为主变量或独立维度,CV011、CV012、路径证据与适用N,有效N较小，仅支持案例/路径叙事，不做总体推断。,Stage5B导入,Stage5C导入,研究判断
CV016,首次确认PE/VC进入年份,PEVC进入时点,CASE_ONLY,7,案例命题,7,案例应用,CASE,案例路径变量,B04 PE/VC进入与路径,替代/敏感性变量,CV011、CV012、路径证据与适用N,有效N较小，仅支持案例/路径叙事，不做总体推断。,Stage5B导入,Stage5C导入,研究判断
CV017,首次确认PE/VC融资轮位置,PEVC进入时点,CASE_ONLY,9,案例命题,6,案例应用,CASE,案例路径变量,B04 PE/VC进入与路径,保留为主变量或独立维度,CV011、CV012、路径证据与适用N,有效N较小，仅支持案例/路径叙事，不做总体推断。,Stage5B导入,Stage5C导入,研究判断
CV018,确认PE/VC间接路径标记,投资路径复杂度,CROSS_SECTIONAL_DESCRIPTIVE,9,探索候选,8,辅助应用,DUAL_SUPPORT,替代或补充解释,B04 PE/VC进入与路径,保留为主变量或独立维度,CV011、CV012、路径证据与适用N,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV019,确认PE/VC进入方式多样性,PEVC进入方式,CROSS_SECTIONAL_DESCRIPTIVE,9,探索候选,8,辅助应用,DUAL_SUPPORT,替代或补充解释,B04 PE/VC进入与路径,保留为主变量或独立维度,CV011、CV012、路径证据与适用N,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV020,直接参与法律主体数,参与结构规模,CROSS_SECTIONAL_DESCRIPTIVE,12,优先候选,11,核心应用,DUAL_CORE,后续选择主轴核心,B05 参与主体结构,保留为主变量或独立维度,CV002、角色映射/简称桥接警告,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV021,融资投资方法律主体数,融资参与广度,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,9,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B05 参与主体结构,保留为主变量或独立维度,CV002、角色映射/简称桥接警告,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV022,每轮融资投资方密度,融资参与密度,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,8,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B05 参与主体结构,保留为主变量或独立维度,CV002、角色映射/简称桥接警告,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV023,融资方式多样性,融资机制,DEFER_REDUNDANT,,暂缓,,暂缓,DEFER,保留定义；暂缓使用,B01 融资强度与规模,暂缓：当前样本完全冗余,有效N、结构NA、缺失N与warning_code,当前样本与CV001重合；扩样前不宣称增量信息。,Stage5B导入,Stage5C导入,研究判断
CV024,股权转让交易数,二级股权流动,CROSS_SECTIONAL_DESCRIPTIVE,12,优先候选,11,核心应用,DUAL_CORE,后续选择主轴核心,B06 一级/二级交易,保留为主变量或独立维度,一级/二级交易分离说明,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV025,可核验股权转让对价下限,二级股权流动,CONDITIONAL_DESCRIPTIVE,10,条件描述候选,8,条件应用,CONDITIONAL,条件样本描述,B06 一级/二级交易,保留为主变量或独立维度,转让金额状态与适用N,股权转让对价仅为可核验下限，且只在适用公司中描述；不得解释为真实累计转让额。,Stage5B导入,Stage5C导入,研究判断
CV026,转让对价与融资金额比,二级股权流动,CASE_ONLY,9,案例命题,6,案例应用,CASE,案例路径变量,B06 一级/二级交易,依赖型案例变量,CV003、CV025及双方金额状态,有效N较小，仅支持案例/路径叙事，不做总体推断。,Stage5B导入,Stage5C导入,研究判断
CV027,金额已知融资轮数,数据可用性,QUALITY_COMPANION,10,质量伴随,12,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
CV028,融资轮金额覆盖率,数据可用性,QUALITY_COMPANION,9,质量伴随,10,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
CV029,融资轮日期覆盖率,数据可用性,QUALITY_COMPANION,9,质量伴随,10,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
CV030,计算型轮次金额占比,数值来源结构,QUALITY_COMPANION,10,质量伴随,10,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
CV031,每轮融资证据记录数,证据密度,QUALITY_COMPANION,8,质量伴随,8,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
CV032,公司级披露限制标记,披露边界,QUALITY_COMPANION,10,质量伴随,10,质量/风险控制,QUALITY_GATE,强制质量闸门,B07 数据质量与证据,强制质量伴随,有效N、结构NA、缺失N与warning_code,反映数据和披露质量，不反映公司经营质量或投资吸引力。,Stage5B导入,Stage5C导入,研究判断
