composite_key,company_id,company_name,variable_id,variable_name,construct,priority,value_type,unit,final_data_layer,original_status,final_value,final_status,reason_code,reason_text,explicit_zero_flag,warning_code,warning_text,calculation_note,source_records,repair_stage,freeze_decision,warning_flag
301563|CV014,301563,云汉芯城,CV014,确认PE/VC参与融资轮数,PEVC参与深度,B扩展,INTEGER,轮,研究判断派生,VALID,5,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,连接融资轮→交易→party→PEVC_CONFIRMED，并按event_id去重。,TRX-301563-INC-002-P02; TRX-301563-INC-002-P03; TRX-301563-INC-003-P02; TRX-301563-INC-003-P03; TRX-301563-INC-005-P05; TRX-301563-INC-005-P06; TRX-301563-INC-006-P01; TRX-301563-INC-006-P03; TRX-301563-INC-006-P05; TRX-301563-INC-006-P06; TRX-301563-INC-009-P02,,FROZEN_UNCHANGED,0
301563|CV015,301563,云汉芯城,CV015,首次确认PE/VC进入日期,PEVC进入时点,A核心,DATE_OR_MONTH,日期或年月,研究判断派生,VALID,2014-08,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,在确认PE/VC路径中取最早可用日期，精度=MONTH。,EDGE-003,,FROZEN_UNCHANGED,0
301563|CV016,301563,云汉芯城,CV016,首次确认PE/VC进入年份,PEVC进入时点,B扩展,INTEGER,年,计算值+研究判断,VALID,2014,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,从首次进入日期提取年份。,EDGE-003,,FROZEN_UNCHANGED,0
301563|CV017,301563,云汉芯城,CV017,首次确认PE/VC融资轮位置,PEVC进入时点,B扩展,RATIO,0–1,研究判断派生,VALID,0.2857142857142857,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,首次确认PE/VC融资轮序位=2，总轮数=7。,TRX-301563-INC-002-P02; TRX-301563-INC-002-P03; TRX-301563-INC-003-P02; TRX-301563-INC-003-P03; TRX-301563-INC-005-P05; TRX-301563-INC-005-P06; TRX-301563-INC-006-P01; TRX-301563-INC-006-P03; TRX-301563-INC-006-P05; TRX-301563-INC-006-P06; TRX-301563-INC-009-P02,,FROZEN_UNCHANGED,0
301563|CV018,301563,云汉芯城,CV018,确认PE/VC间接路径标记,投资路径复杂度,B扩展,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,检查确认路径中与PEVC_CONFIRMED相关的INDIRECT边。,EDGE-056; EDGE-058; EDGE-059; EDGE-060; EDGE-061; EDGE-062; EDGE-063; EDGE-064; EDGE-065,,FROZEN_UNCHANGED,0
301563|CV019,301563,云汉芯城,CV019,确认PE/VC进入方式多样性,PEVC进入方式,B扩展,INTEGER,种,研究判断派生,VALID,2,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,"确认PE/VC路径非空进入方式=['CAPITAL_INCREASE_ENTRY', 'TRANSFER_ENTRY']。",EDGE-024; EDGE-036; EDGE-037; EDGE-039; EDGE-040; EDGE-045; EDGE-046; EDGE-047; EDGE-049; EDGE-051; EDGE-052; EDGE-055,,FROZEN_UNCHANGED,0
301563|CV020,301563,云汉芯城,CV020,直接参与法律主体数,参与结构规模,A核心,INTEGER,个,计算值,VALID,35,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结直接参与法律主体数。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV021,301563,云汉芯城,CV021,融资投资方法律主体数,融资参与广度,B扩展,INTEGER,个,计算值+Week9补充研究层,NOT_COMPUTABLE,19,VALID,REPAIRED_AND_FROZEN_STAGE4C,经S4B1证据闸门修复并在Stage4C冻结。,0,W9_ROLE_SCOPE_MAPPING,冻结角色SUBSCRIBER在Week9研究层映射为INVESTOR；仅用于CV021/CV022，不改写标准角色。,纳入23条通过事件、party和证据闸门的映射记录，按canonical_entity_id优先去重为19个主体。,MAP-301563-CV021-001; MAP-301563-CV021-002; MAP-301563-CV021-003; MAP-301563-CV021-004; MAP-301563-CV021-005; MAP-301563-CV021-006; MAP-301563-CV021-007; MAP-301563-CV021-008; MAP-301563-CV021-009; MAP-301563-CV021-010; MAP-301563-CV021-011; MAP-301563-CV021-012; MAP-301563-CV021-013; MAP-301563-CV021-014; MAP-301563-CV021-015; MAP-301563-CV021-016; MAP-301563-CV021-017; MAP-301563-CV021-018; MAP-301563-CV021-019; MAP-301563-CV021-020; MAP-301563-CV021-021; MAP-301563-CV021-022; MAP-301563-CV021-023,S4B1,FROZEN_REPAIRED,1
301563|CV022,301563,云汉芯城,CV022,每轮融资投资方密度,融资参与密度,B扩展,RATIO,个/轮,计算值+Week9补充研究层,NOT_COMPUTABLE,2.7142857142857144,VALID,REPAIRED_AND_FROZEN_STAGE4C,经S4B1证据闸门修复并在Stage4C冻结。,0,W9_ROLE_SCOPE_MAPPING,冻结角色SUBSCRIBER在Week9研究层映射为INVESTOR；仅用于CV021/CV022，不改写标准角色。,CV021修复值19/冻结融资轮数7。,MAP-301563-CV021-001; MAP-301563-CV021-002; MAP-301563-CV021-003; MAP-301563-CV021-004; MAP-301563-CV021-005; MAP-301563-CV021-006; MAP-301563-CV021-007; MAP-301563-CV021-008; MAP-301563-CV021-009; MAP-301563-CV021-010; MAP-301563-CV021-011; MAP-301563-CV021-012; MAP-301563-CV021-013; MAP-301563-CV021-014; MAP-301563-CV021-015; MAP-301563-CV021-016; MAP-301563-CV021-017; MAP-301563-CV021-018; MAP-301563-CV021-019; MAP-301563-CV021-020; MAP-301563-CV021-021; MAP-301563-CV021-022; MAP-301563-CV021-023,S4B1,FROZEN_REPAIRED,1
301563|CV023,301563,云汉芯城,CV023,融资方式多样性,融资机制,B扩展,INTEGER,种,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,融资交易组成标准化方式=['CAPITAL_INCREASE']。,TRX-301563-INC-001; TRX-301563-INC-002; TRX-301563-INC-003; TRX-301563-INC-005; TRX-301563-INC-006; TRX-301563-INC-007; TRX-301563-INC-008; TRX-301563-INC-009,,FROZEN_UNCHANGED,0
301563|CV024,301563,云汉芯城,CV024,股权转让交易数,二级股权流动,A核心,INTEGER,笔,计算值,VALID,20,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,按EQUITY_TRANSFER交易记录计数。,TRX-301563-TR-LOT-001; TRX-301563-TR-LOT-002; TRX-301563-TR-LOT-003; TRX-301563-TR-LOT-004; TRX-301563-TR-LOT-005; TRX-301563-TR-LOT-006; TRX-301563-TR-LOT-007; TRX-301563-TR-LOT-008; TRX-301563-TR-LOT-009; TRX-301563-TR-LOT-010; TRX-301563-TR-LOT-011; TRX-301563-TR-LOT-012; TRX-301563-TR-LOT-013; TRX-301563-TR-LOT-014; TRX-301563-TR-LOT-015; TRX-301563-TR-LOT-016; TRX-301563-TR-LOT-017; TRX-301563-TR-LOT-018; TRX-301563-TR-LOT-019; TRX-301563-TR-LOT-020,,FROZEN_UNCHANGED,0
301563|CV025,301563,云汉芯城,CV025,可核验股权转让对价下限,二级股权流动,A核心,CONTINUOUS,万元人民币,标准化值+计算值,VALID,13018.1954,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结转让对价下限；状态=KNOWN_LOWER_BOUND。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV026,301563,云汉芯城,CV026,转让对价与融资金额比,二级股权流动,B扩展,RATIO,0–∞,计算值,VALID,0.48002195427728617,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,转让对价下限/融资金额下限；两类金额未相加。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV027,301563,云汉芯城,CV027,金额已知融资轮数,数据可用性,Q质量,INTEGER,轮,计算值,VALID,3,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,融资轮中金额非null记录数。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV028,301563,云汉芯城,CV028,融资轮金额覆盖率,数据可用性,Q质量,RATIO,0–1,计算值,VALID,0.42857142857142855,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,金额非null融资轮数/融资轮总数。,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV029,301563,云汉芯城,CV029,融资轮日期覆盖率,数据可用性,Q质量,RATIO,0–1,计算值,VALID,0.8571428571428571,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,DAY或MONTH精度融资轮数/融资轮总数。,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV030,301563,云汉芯城,CV030,计算型轮次金额占比,数值来源结构,Q质量,RATIO,0–1,计算值,VALID,0.6666666666666666,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,CALCULATED已知金额轮数/已知金额轮数。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV031,301563,云汉芯城,CV031,每轮融资证据记录数,证据密度,Q质量,RATIO,条/轮,计算值,VALID,2.857142857142857,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,关联融资轮的去重evidence_id数/融资轮数。,CE-004-E01; CE-004-E02; CE-005-E01; CE-005-E02; CE-007-E01; CE-007-E02; CE-012-E01; CE-012-E02; CE-012-E03; CE-012-E04; EVD-003; EVD-006; EVD-009; EVD-010; EVD-013; EVD-014; EVD-015; EVD-016; EVD-017; EVD-018,,FROZEN_UNCHANGED,0
301563|CV032,301563,云汉芯城,CV032,公司级披露限制标记,披露边界,Q质量,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,FINAL_APPROVED公司记录中检查disclosure_limitation是否非空。,companies:301563,,FROZEN_UNCHANGED,0
001282|CV001,001282,三联锻造,CV001,上市前直接股权融资发生标记,融资经历,A核心,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,financing_round_count=1，据此生成二元标记。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV002,001282,三联锻造,CV002,上市前直接股权融资轮数,融资频度,A核心,INTEGER,轮,研究判断,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,公司冻结轮次=1；事件层TRUE计数=1。,companies:001282; EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV003,001282,三联锻造,CV003,可核验融资金额下限,融资规模,A核心,CONTINUOUS,万元人民币,标准化值+计算值,VALID,1566,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结金额；状态=DISCLOSED_COMPLETE。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV004,001282,三联锻造,CV004,融资金额下限对数,融资规模,B扩展,CONTINUOUS,ln(1+万元),计算值,VALID,7.356918242356021,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,LN(1+公司层融资金额下限)。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV005,001282,三联锻造,CV005,已知金额轮次均值,单轮融资规模,A核心,CONTINUOUS,万元人民币/已知轮,计算值,VALID,1566,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于1个非null融资轮金额计算已知轮次金额均值。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV006,001282,三联锻造,CV006,已知金额轮次中位数,单轮融资规模,B扩展,CONTINUOUS,万元人民币/已知轮,计算值,VALID,1566,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于1个非null融资轮金额计算已知轮次金额中位数。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV007,001282,三联锻造,CV007,最大已知单轮融资金额,融资峰值,B扩展,CONTINUOUS,万元人民币,计算值,VALID,1566,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于1个非null融资轮金额计算最大已知轮次金额。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV008,001282,三联锻造,CV008,最大已知轮金额占比,融资集中度,B扩展,RATIO,0–1,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,最大已知轮金额/已知事件锚点金额合计。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV009,001282,三联锻造,CV009,融资时间跨度,融资节奏,A核心,CONTINUOUS,月,计算值,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_FEWER_THAN_2_ROUNDS,融资轮数=1，少于2轮。,0,,,融资时间跨度不适用。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV010,001282,三联锻造,CV010,融资轮次间隔中位数,融资节奏,B扩展,CONTINUOUS,月,计算值,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_FEWER_THAN_2_ROUNDS,融资轮数=1，少于2轮。,0,,,融资间隔中位数不适用。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV011,001282,三联锻造,CV011,确认PE/VC参与标记,PEVC参与,A核心,BINARY,0/1,研究判断派生,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,confirmed_pevc_legal_entity_count=0。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV012,001282,三联锻造,CV012,确认PE/VC法律主体数,PEVC参与,A核心,INTEGER,个,计算值+研究判断,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,读取公司层冻结确认PE/VC法律主体数。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV013,001282,三联锻造,CV013,确认PE/VC占直接主体比重,PEVC参与,B扩展,RATIO,0–1,计算值+研究判断,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,确认PE/VC法律主体数/直接参与法律主体数。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV014,001282,三联锻造,CV014,确认PE/VC参与融资轮数,PEVC参与深度,B扩展,INTEGER,轮,研究判断派生,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,公司层确认PE/VC数为0，因此确认PE/VC参与融资轮数为0。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV015,001282,三联锻造,CV015,首次确认PE/VC进入日期,PEVC进入时点,A核心,DATE_OR_MONTH,日期或年月,研究判断派生,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_NO_CONFIRMED_PEVC,公司没有确认PE/VC法律主体。,0,,,首次确认PE/VC进入日期不适用。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV016,001282,三联锻造,CV016,首次确认PE/VC进入年份,PEVC进入时点,B扩展,INTEGER,年,计算值+研究判断,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_NO_CONFIRMED_PEVC,公司没有确认PE/VC法律主体。,0,,,首次确认PE/VC进入年份不适用。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV017,001282,三联锻造,CV017,首次确认PE/VC融资轮位置,PEVC进入时点,B扩展,RATIO,0–1,研究判断派生,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_NO_CONFIRMED_PEVC,公司没有确认PE/VC法律主体。,0,,,首次确认PE/VC融资轮位置不适用。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV018,001282,三联锻造,CV018,确认PE/VC间接路径标记,投资路径复杂度,B扩展,BINARY,0/1,研究判断派生,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,公司层确认PE/VC数为0，因此不存在确认PE/VC间接路径。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV019,001282,三联锻造,CV019,确认PE/VC进入方式多样性,PEVC进入方式,B扩展,INTEGER,种,研究判断派生,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,公司层确认PE/VC数为0，因此进入方式种类为0。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV020,001282,三联锻造,CV020,直接参与法律主体数,参与结构规模,A核心,INTEGER,个,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结直接参与法律主体数。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV021,001282,三联锻造,CV021,融资投资方法律主体数,融资参与广度,B扩展,INTEGER,个,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,ENTITY_NAME_CROSSWALK_LIMITATION,稳定ID足以计数，但部分PTY名称及PTY↔INV crosswalk未恢复，不能做名称级网络解释。,融资轮相关交易中筛选INVESTOR，canonical_entity_id优先、否则entity_id去重。,TRX-001282-0003-01-P01,,FROZEN_UNCHANGED,1
001282|CV022,001282,三联锻造,CV022,每轮融资投资方密度,融资参与密度,B扩展,RATIO,个/轮,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,ENTITY_NAME_CROSSWALK_LIMITATION,稳定ID足以计数，但部分PTY名称及PTY↔INV crosswalk未恢复，不能做名称级网络解释。,融资投资方法律主体数/融资轮数。,TRX-001282-0003-01-P01,,FROZEN_UNCHANGED,1
001282|CV023,001282,三联锻造,CV023,融资方式多样性,融资机制,B扩展,INTEGER,种,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,融资交易组成标准化方式=['CAPITAL_INCREASE']。,TRX-001282-0003-01,,FROZEN_UNCHANGED,0
001282|CV024,001282,三联锻造,CV024,股权转让交易数,二级股权流动,A核心,INTEGER,笔,计算值,VALID,0,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,1,,,按EQUITY_TRANSFER交易记录计数。,,,FROZEN_UNCHANGED,0
001282|CV025,001282,三联锻造,CV025,可核验股权转让对价下限,二级股权流动,A核心,CONTINUOUS,万元人民币,标准化值+计算值,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_TRANSFER_NOT_APPLICABLE,公司层转让金额状态为NOT_APPLICABLE。,0,,,不将不适用金额补0。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV026,001282,三联锻造,CV026,转让对价与融资金额比,二级股权流动,B扩展,RATIO,0–∞,计算值,STRUCTURAL_NA,,STRUCTURAL_NA,STRUCTURAL_NA_TRANSFER_NOT_APPLICABLE,转让金额不适用，因此转让/融资比率不适用。,0,,,不将不适用比率补0。,companies:001282,,FROZEN_UNCHANGED,0
001282|CV027,001282,三联锻造,CV027,金额已知融资轮数,数据可用性,Q质量,INTEGER,轮,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,融资轮中金额非null记录数。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV028,001282,三联锻造,CV028,融资轮金额覆盖率,数据可用性,Q质量,RATIO,0–1,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,金额非null融资轮数/融资轮总数。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV029,001282,三联锻造,CV029,融资轮日期覆盖率,数据可用性,Q质量,RATIO,0–1,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,DAY或MONTH精度融资轮数/融资轮总数。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV030,001282,三联锻造,CV030,计算型轮次金额占比,数值来源结构,Q质量,RATIO,0–1,计算值,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,CALCULATED已知金额轮数/已知金额轮数。,EVT-001282-0003,,FROZEN_UNCHANGED,0
001282|CV031,001282,三联锻造,CV031,每轮融资证据记录数,证据密度,Q质量,RATIO,条/轮,计算值,VALID,2,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,关联融资轮的去重evidence_id数/融资轮数。,EVD-001282-0004-01; EVD-001282-0004-02,,FROZEN_UNCHANGED,0
001282|CV032,001282,三联锻造,CV032,公司级披露限制标记,披露边界,Q质量,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,FINAL_APPROVED公司记录中检查disclosure_limitation是否非空。,companies:001282,,FROZEN_UNCHANGED,0
301581|CV001,301581,黄山谷捷,CV001,上市前直接股权融资发生标记,融资经历,A核心,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,financing_round_count=2，据此生成二元标记。,companies:301581,,FROZEN_UNCHANGED,0
301581|CV002,301581,黄山谷捷,CV002,上市前直接股权融资轮数,融资频度,A核心,INTEGER,轮,研究判断,VALID,2,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,公司冻结轮次=2；事件层TRUE计数=2。,companies:301581; EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
301581|CV003,301581,黄山谷捷,CV003,可核验融资金额下限,融资规模,A核心,CONTINUOUS,万元人民币,标准化值+计算值,VALID,13655.098274,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结金额；状态=DISCLOSED_COMPLETE。,companies:301581,,FROZEN_UNCHANGED,0
301581|CV004,301581,黄山谷捷,CV004,融资金额下限对数,融资规模,B扩展,CONTINUOUS,ln(1+万元),计算值,VALID,9.521941460845571,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,LN(1+公司层融资金额下限)。,companies:301581,,FROZEN_UNCHANGED,0
301581|CV005,301581,黄山谷捷,CV005,已知金额轮次均值,单轮融资规模,A核心,CONTINUOUS,万元人民币/已知轮,计算值,VALID,6827.549137,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于2个非null融资轮金额计算已知轮次金额均值。,EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
301581|CV006,301581,黄山谷捷,CV006,已知金额轮次中位数,单轮融资规模,B扩展,CONTINUOUS,万元人民币/已知轮,计算值,VALID,6827.549137,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于2个非null融资轮金额计算已知轮次金额中位数。,EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
301581|CV007,301581,黄山谷捷,CV007,最大已知单轮融资金额,融资峰值,B扩展,CONTINUOUS,万元人民币,计算值,VALID,11530.285394,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于2个非null融资轮金额计算最大已知轮次金额。,EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
301581|CV008,301581,黄山谷捷,CV008,最大已知轮金额占比,融资集中度,B扩展,RATIO,0–1,计算值,VALID,0.8443941715127931,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,最大已知轮金额/已知事件锚点金额合计。,EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
301581|CV009,301581,黄山谷捷,CV009,融资时间跨度,融资节奏,A核心,CONTINUOUS,月,计算值,VALID,6,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,使用2个可用年月计算最晚减最早。,EVT-301581-0004; EVT-301581-0005,,FROZEN_UNCHANGED,0
