变量ID,英文变量名,中文名称,研究构念,优先级,观察层级,潜在研究角色,变量类型,单位,定义,为什么定义,数据层,开发状态,ID出现次数,名称出现次数
CV011,confirmed_pevc_participation_flag,确认PE/VC参与标记,PEVC参与,A核心,公司层,分组/解释变量,BINARY,0/1,公司是否至少有1个最终状态为PEVC_CONFIRMED且与公司投资关系可核验的法律主体。,提供最易解释的PE/VC参与广度指标，适合8家公司初步分组。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV012,confirmed_pevc_legal_entity_count,确认PE/VC法律主体数,PEVC参与,A核心,公司层,解释/案例选择变量,INTEGER,个,公司内最终状态为PEVC_CONFIRMED的参与法律主体去重数。,在是否参与之外衡量PE/VC主体参与的数量强度。,计算值+研究判断,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV013,confirmed_pevc_share_of_direct_entities,确认PE/VC占直接主体比重,PEVC参与,B扩展,公司层,相对解释变量,RATIO,0–1,确认PE/VC法律主体数占直接参与法律主体去重数的比例。,控制公司参与主体总规模，使PE/VC数量在不同主体密度公司间更可比。,计算值+研究判断,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV014,confirmed_pevc_financing_round_count,确认PE/VC参与融资轮数,PEVC参与深度,B扩展,公司层,机制/解释变量,INTEGER,轮,至少关联1个PEVC_CONFIRMED主体的融资轮事件去重数。,区分PE/VC偶发进入与跨多轮持续参与。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV015,first_confirmed_pevc_entry_date,首次确认PE/VC进入日期,PEVC进入时点,A核心,公司层,历史标记/案例选择变量,DATE_OR_MONTH,日期或年月,公司投资路径中PEVC_CONFIRMED主体最早的可核验进入日期。,直接回答PE/VC何时首次进入，为后续路径叙事和时点变量提供锚点。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV016,first_confirmed_pevc_entry_year,首次确认PE/VC进入年份,PEVC进入时点,B扩展,公司层,时期控制/案例选择变量,INTEGER,年,从首次确认PE/VC进入日期提取年份。,在不虚构月份或日期的情况下比较不同企业进入所处资本市场时期。,计算值+研究判断,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV017,first_confirmed_pevc_financing_round_position,首次确认PE/VC融资轮位置,PEVC进入时点,B扩展,公司层,相对时点变量,RATIO,0–1,首次有确认PE/VC参与的融资轮序位除以公司融资轮总数。,把首次进入位置标准化，使融资轮数不同的公司具有可比的相对时点。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV018,indirect_confirmed_pevc_path_flag,确认PE/VC间接路径标记,投资路径复杂度,B扩展,公司层,机制/案例选择变量,BINARY,0/1,是否存在与PEVC_CONFIRMED主体相关且direct_indirect=INDIRECT的确认投资路径。,识别通过持股平台、基金层级或其他间接结构参与的案例。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV019,confirmed_pevc_entry_method_diversity,确认PE/VC进入方式多样性,PEVC进入方式,B扩展,公司层,机制/案例选择变量,INTEGER,种,确认PE/VC路径中非空进入方式的去重数，如增资进入、受让进入。,区分单一进入机制与多种进入机制并存。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV020,unique_direct_legal_entity_count,直接参与法律主体数,参与结构规模,A核心,公司层,解释/案例选择变量,INTEGER,个,公司级直接参与法律主体按稳定主体键去重后的数量。,刻画上市前股权参与结构的规模，为PE/VC计数提供分母。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV021,financing_investor_legal_entity_count,融资投资方法律主体数,融资参与广度,B扩展,公司层,解释/案例选择变量,INTEGER,个,参与融资轮相关交易且角色为INVESTOR的法律主体去重数。,比全部直接主体更贴近直接股权融资活动本身。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV022,financing_investors_per_round,每轮融资投资方密度,融资参与密度,B扩展,公司层,相对解释变量,RATIO,个/轮,融资投资方法律主体数除以上市前直接股权融资轮数。,把投资方广度相对于融资频度标准化。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV023,financing_method_diversity,融资方式多样性,融资机制,B扩展,公司层,机制/案例选择变量,INTEGER,种,融资交易组成中CAPITAL_INCREASE与DIRECTIONAL_ISSUANCE等标准化方式的去重数。,识别企业是否采用单一或多种直接股权融资机制。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV024,equity_transfer_transaction_count,股权转让交易数,二级股权流动,A核心,公司层,解释/案例选择变量,INTEGER,笔,transaction_type_standardized=EQUITY_TRANSFER的公司内交易记录数。,刻画上市前存量股权流动频度，与发行人直接融资轮次严格分开。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV025,equity_transfer_amount_lower_bound_10k_cny,可核验股权转让对价下限,二级股权流动,A核心,公司层,解释/案例选择变量,CONTINUOUS,万元人民币,存量股权转让对价的可核验公司级下限。,在转让频度之外衡量可核验的二级股权交易规模。,标准化值+计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV026,secondary_to_primary_amount_ratio,转让对价与融资金额比,二级股权流动,B扩展,公司层,相对解释/案例选择变量,RATIO,0–∞,可核验股权转让对价下限除以可核验直接股权融资金额下限。,用于描述二级股权交易相对于发行人融资的可核验规模，而不是把两类资金流相加。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV027,known_financing_round_amount_count,金额已知融资轮数,数据可用性,Q质量,公司层,质量控制变量,INTEGER,轮,融资轮事件中financing_amount_10k_cny非null的轮次数。,明确公司单轮金额统计由多少轮支撑，防止把少量已知轮次当成完整历史。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV028,financing_round_amount_coverage_rate,融资轮金额覆盖率,数据可用性,Q质量,公司层,质量控制/解释门槛,RATIO,0–1,金额已知融资轮数占公司融资轮总数的比例。,为均值、中位数、峰值和集中度提供共同的解释门槛。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV029,financing_round_date_coverage_rate,融资轮日期覆盖率,数据可用性,Q质量,公司层,质量控制/解释门槛,RATIO,0–1,具有DAY或MONTH精度标准化日期的融资轮数占融资轮总数。,判断融资跨度、间隔和首次进入时点是否有足够日期基础。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV030,calculated_round_amount_share,计算型轮次金额占比,数值来源结构,Q质量,公司层,质量控制变量,RATIO,0–1,已知金额融资轮中amount_source_type=CALCULATED的轮次占比。,区分直接披露金额与由股份数、价格等明确推算的金额，避免把来源层混同。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV031,evidence_records_per_financing_round,每轮融资证据记录数,证据密度,Q质量,公司层,质量控制变量,RATIO,条/轮,与融资轮事件直接关联的去重证据记录数除以融资轮数。,描述结构化证据支撑密度，并用于发现证据链接薄弱的公司。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV032,disclosure_limitation_flag,公司级披露限制标记,披露边界,Q质量,公司层,质量控制/分层变量,BINARY,0/1,公司层是否存在非空且经最终复核的disclosure_limitation说明。,把无法完全重建的披露边界显式带入后续比较，避免遗漏限制说明。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
